rank,vx,vy,vz,base_label,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,context_mode_contribution,junction_mode_contribution,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,junction_cluster_count,junction_orientation_dispersion,junction_score,junction_mixed_relabel_score,total_score
188,7,18,9,planar,planar,15,-7.703875,1.076971,-1.597931,2.243799,1.092745,0.385072,0.085703,0.387597,0.274204,0.808722,2,0.311902,0.195298,0.117398,-8.990817
189,8,-7,6,planar,planar,53,-1.712258,-0.290946,-1.727815,3.030774,-0.881670,-1.350000,0.003872,0.166884,0.528606,0.322133,1,0.000000,0.000000,0.029368,-8.993462
190,11,-1,8,planar,planar,27,-7.402918,1.198540,-1.324933,2.226496,1.190181,-0.433236,0.018983,0.459016,0.228308,0.797211,1,0.594250,0.000000,0.265627,-8.998862
191,-5,-7,7,planar,planar,128,-3.299724,0.359005,-1.720339,2.971349,-0.600379,-0.844217,0.006558,0.256063,0.518796,0.423857,1,0.218505,0.000000,0.009468,-9.077003
192,0,5,0,planar,planar,178,-3.226760,0.229423,-1.766381,3.138127,-0.660543,-0.647022,0.007835,0.245304,0.531481,0.413745,2,0.056245,0.087143,0.040029,-9.209410
193,1,3,-1,planar,planar,472,-1.728024,-0.051132,-1.912836,3.749326,-0.700780,-1.160458,0.000036,0.301784,0.593021,0.465344,1,0.101223,0.000000,0.043783,-9.302557
194,10,-1,8,planar,planar,42,-6.685641,0.957955,-1.603334,2.379129,0.835100,-0.465545,0.001735,0.429825,0.307069,0.741816,1,0.581663,0.000000,0.266167,-9.340595
195,7,-9,-2,planar,planar,81,-5.724791,0.812806,-1.726729,2.949094,0.629610,-0.435912,0.001096,0.380952,0.332136,0.687194,1,0.566590,0.000000,0.233257,-9.394109
196,3,-8,-3,planar,planar,159,-4.879201,0.626710,-1.946555,3.742753,0.465709,0.076869,0.000247,0.377358,0.387101,0.682094,1,0.930882,0.000000,0.297488,-9.399221
197,-9,-1,2,planar,planar,116,-3.872675,-0.281769,-1.663157,2.793284,-0.878476,0.066772,0.004572,0.149874,0.511294,0.304366,1,0.835328,0.000000,0.197426,-9.422589
198,-8,4,2,planar,planar,95,-6.431662,0.543031,-1.568516,2.546545,-0.505897,0.898151,0.034950,0.206439,0.469658,0.407599,2,0.779365,0.201147,0.231852,-9.611439
199,-9,-6,3,planar,planar,29,-11.736515,2.413563,-1.828212,3.476466,4.325838,0.627451,0.537481,0.666667,0.074483,1.858933,1,0.594976,0.000000,0.613555,-9.674341
