rank,vx,vy,vz,base_label,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,context_mode_contribution,junction_mode_contribution,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,junction_cluster_count,junction_orientation_dispersion,junction_score,junction_mixed_relabel_score,total_score
95,10,2,3,planar,planar,36,-0.622244,-0.112957,-1.499065,2.190700,1.060000,1.361154,0.000000,0.000000,0.000000,0.400000,2,0.370680,0.273033,0.153776,-2.003812
96,-6,14,3,linear,linear,16,-0.504389,-0.049380,-0.479849,1.793509,1.888002,-1.109949,0.004646,0.333333,0.046518,0.772939,1,0.000000,0.000000,0.064322,-2.049074
97,16,-3,-3,planar,planar,17,1.677038,-0.039228,-1.409339,2.240324,1.060000,-1.187556,0.000000,0.000000,0.000000,0.400000,1,0.000000,0.000000,0.008889,-2.139409
98,-14,-16,4,planar,planar,30,1.335300,-0.639316,-1.453014,2.231735,1.841563,-1.075254,0.001924,0.333333,0.060910,0.769264,1,0.000000,0.000000,0.089105,-2.222456
99,5,-5,7,linear,linear,81,-3.066311,0.600501,-0.376916,1.766167,2.763601,-0.445053,0.014280,0.666667,0.081367,1.152612,1,0.279508,0.000000,0.207863,-2.290345
100,4,6,-2,planar,planar,251,-0.992218,-0.091726,-1.564289,2.536140,1.059157,1.676396,0.043197,0.373333,0.300124,0.735650,2,0.751179,0.215689,0.313460,-2.448819
101,-3,-25,-1,planar,planar,16,-3.272573,0.628426,-1.277910,2.237805,1.898241,1.761935,0.009557,0.333333,0.049392,0.779569,3,0.168157,0.419288,0.173915,-2.499686
102,9,2,1,planar,planar,38,-6.604545,1.308847,-1.109393,1.208606,4.609396,0.496068,0.290491,1.000000,0.109740,1.892163,1,0.499501,0.000000,0.491136,-2.508234
103,-7,-10,9,planar,planar,15,0.241362,-0.047798,-1.324640,2.234023,1.272426,-0.474206,0.016974,0.427083,0.241142,0.759373,1,0.293108,0.000000,0.105063,-2.566879
104,0,7,-2,planar,planar,50,1.381569,-0.085493,-1.676748,3.231664,-0.835212,1.871531,0.000161,0.123708,0.542378,0.269629,2,0.670830,0.274525,0.209411,-2.576017
105,-8,-21,0,planar,planar,22,1.475803,-0.469382,-1.413598,2.187848,0.460821,-0.450857,0.062011,0.045045,0.202220,0.399930,2,0.053839,0.088609,0.032101,-2.585062
106,12,-2,2,linear,linear,17,-8.948088,1.948711,-0.400827,1.795748,2.136182,4.449150,0.068546,0.333333,0.038839,0.859203,3,0.615265,0.741734,0.573465,-2.610620
107,6,-22,3,linear,linear,15,-2.132675,0.529818,-0.466710,1.789220,1.060000,0.180444,0.000000,0.000000,0.000000,0.400000,0,0.000000,0.000000,0.128889,-2.618342
108,-15,-15,4,planar,planar,18,-0.387854,-0.029355,-1.168526,1.942654,1.896543,-1.012072,0.008133,0.333333,0.048060,0.777646,1,0.000000,0.000000,0.134234,-2.643917
109,6,0,-4,planar,planar,77,1.917709,0.289361,-1.397993,2.249024,-0.149583,-1.138723,0.007433,0.235933,0.411995,0.402895,1,0.000000,0.000000,0.043769,-2.728253
