rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,context_mode_contribution,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,total_score
161,3,2,4,planar,171,-3.978095,0.812904,-1.230605,1.907574,-0.915199,0.290083,0.132988,0.110622,0.804565,-7.218570
162,6,11,-1,planar,47,0.055556,0.038834,-2.065992,2.872392,-2.395740,0.196457,0.117647,0.409691,0.527962,-7.239734
163,6,2,3,planar,170,2.076148,0.066333,-2.697261,3.732272,-2.998734,0.067847,0.188226,0.610689,0.431975,-7.285786
164,-1,11,3,linear,52,-5.028284,1.016773,-0.513986,1.760239,-1.011835,0.057181,0.088050,0.142834,0.440716,-7.297570
165,-2,-8,-2,linear,40,-4.217754,0.866435,-0.292083,1.799975,-1.894327,0.004935,0.204315,0.242554,0.364743,-7.337705
166,1,6,-2,planar,63,-0.266133,-0.220418,-1.975743,2.299404,-2.582696,0.006571,0.182545,0.472010,0.343003,-7.344394
167,1,2,-2,planar,667,1.801356,0.308640,-2.646744,3.748916,-3.090186,0.000030,0.334963,0.641173,0.501832,-7.375850
168,6,-1,3,planar,229,1.811054,0.095098,-2.642808,3.737429,-2.946469,0.074768,0.065554,0.593268,0.306379,-7.420555
169,0,-4,-2,planar,411,1.695486,0.235749,-2.578000,3.749001,-3.039111,0.000023,0.249742,0.624148,0.408081,-7.434875
170,2,4,-2,planar,147,1.348799,0.206212,-2.396041,3.738541,-2.903962,0.000034,0.252319,0.579098,0.410930,-7.483533
171,-5,18,1,planar,23,-1.353793,-0.164261,-1.979950,2.353897,-1.656003,0.009015,0.388889,0.302001,0.706614,-7.507903
172,-7,8,8,linear,21,-5.986681,1.042910,-0.276822,1.799942,-0.492481,0.196162,0.666667,0.053049,1.398151,-7.513015
173,6,-11,2,planar,24,-1.786858,0.695693,-2.135521,3.012384,-1.344530,0.028545,0.081481,0.253732,0.394833,-7.583599
174,-6,10,8,planar,17,-2.680616,0.519136,-1.808682,2.071219,-1.542531,0.061053,0.347826,0.264177,0.731696,-7.583912
175,-1,-5,-2,planar,153,-1.057839,-0.057235,-1.797553,2.249360,-2.459268,0.000025,0.215280,0.430867,0.370175,-7.621255
176,-10,4,8,planar,41,-1.035190,0.219511,-2.150342,2.939086,-1.727587,0.017526,0.492063,0.325862,0.831596,-7.632693
177,6,3,0,planar,202,1.314311,-0.632733,-2.317688,3.239643,-2.766015,0.085258,0.058761,0.533116,0.313068,-7.641768
178,6,11,2,planar,29,-3.047608,-0.131661,-1.425086,1.825290,-1.243527,0.284921,0.441315,0.164509,1.136756,-7.673174
179,6,1,1,planar,266,1.120655,-0.059121,-2.354603,3.523528,-2.902397,0.005968,0.137710,0.578577,0.292872,-7.718994
180,-9,4,8,planar,62,0.390081,-0.128665,-2.455935,3.661651,-1.889565,0.005040,0.381944,0.379855,0.693609,-7.745735
181,-10,6,8,linear,18,-6.546098,1.543248,-0.412776,1.794032,-0.553118,0.028725,0.666667,0.073261,1.172112,-7.762776
182,3,-6,4,planar,48,-1.889902,-0.134178,-1.895357,2.222995,-1.639602,0.033945,0.441379,0.296534,0.798009,-7.782035
183,1,-2,-2,planar,1447,1.490530,0.136911,-2.715481,3.748297,-2.977535,0.083011,0.207443,0.603623,0.473585,-7.813873
184,1,7,-2,linear,47,-5.010357,1.129831,-0.278028,1.799961,-1.872657,0.020591,0.131052,0.235330,0.305289,-7.831173
185,1,10,8,planar,29,-2.996110,0.251254,-1.516026,2.136629,-1.434680,0.032878,0.394366,0.228227,0.744854,-7.832191
186,0,-3,-2,planar,923,1.573645,0.127656,-2.677335,3.748654,-3.112878,0.000081,0.192569,0.648737,0.345268,-7.837565
187,6,-5,3,planar,72,0.149357,-0.055440,-2.507707,3.553313,-1.873191,0.047404,0.446043,0.374397,0.821309,-7.840294
188,-2,18,-1,planar,35,-1.408366,-0.129009,-1.756503,2.095766,-2.451750,0.007089,0.004695,0.428361,0.148068,-7.841395
189,3,6,-2,planar,50,-2.009707,0.232968,-1.556357,2.248863,-2.265957,0.012840,0.159294,0.366430,0.325891,-7.847917
190,6,-3,3,planar,150,1.025098,-0.345825,-2.317880,3.506458,-2.734359,0.069232,0.287403,0.522564,0.542939,-7.879424
191,6,8,1,planar,65,-0.935816,-0.148039,-1.971221,2.349618,-2.510982,0.067039,0.103800,0.448105,0.338016,-7.915676
192,-10,-6,8,planar,37,1.358003,-0.289994,-2.404499,3.732350,-2.849742,0.037095,0.139086,0.561025,0.336406,-7.918582
193,1,3,-2,planar,331,1.485330,0.033032,-2.646271,3.749342,-3.089706,0.000039,0.263063,0.641013,0.422756,-7.966958
194,3,-4,4,planar,137,-2.806216,0.465421,-1.875585,2.200408,-1.612499,0.053259,0.417639,0.287500,0.797969,-8.029287
195,4,4,4,planar,67,-4.208298,0.851317,-1.737713,1.785016,-1.228036,0.033762,0.164948,0.214901,0.493689,-8.107746
196,0,18,3,planar,39,-4.033094,0.481991,-1.822277,2.152070,-0.687887,0.024888,0.666667,0.118185,1.166932,-8.213337
197,3,8,-2,linear,25,-7.509185,1.588044,-0.294228,1.799977,-0.267398,0.000375,0.333333,0.033577,0.767173,-8.282745
198,1,11,7,linear,17,-6.391380,1.153198,-0.515184,1.782750,-0.752199,0.625816,0.086957,0.056288,1.207170,-8.288315
199,-9,2,8,planar,61,-1.094661,0.121846,-2.089907,2.719622,-2.545711,0.089271,0.024691,0.459682,0.281009,-8.328055
