rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,context_mode_contribution,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,total_score
31,1,-8,4,corner_like,121,0.628149,-0.365476,0.476004,0.234054,0.439583,0.192415,0.317394,0.281841,0.742227,0.944206
32,6,-3,0,corner_like,288,2.441887,-0.182950,-0.023707,0.632977,-0.821128,0.119043,0.106960,0.415498,0.411697,0.781125
33,6,-3,-1,corner_like,184,-0.027718,-0.227208,0.270237,0.569285,1.300770,0.403994,0.340637,0.256244,1.053426,0.746795
34,6,-2,3,corner_like,197,1.951188,-0.028907,0.074435,0.627716,-0.813381,0.073114,0.190385,0.436010,0.441461,0.555620
35,2,7,-2,linear,44,1.891897,0.355112,-0.622416,1.798878,0.687932,0.017058,0.364341,0.204074,0.690470,0.513648
36,6,2,-1,corner_like,272,2.439848,-0.310652,-0.280448,0.826474,-0.624735,0.151851,0.194110,0.462882,0.551853,0.397539
37,-8,-8,8,planar,24,2.467679,-0.343175,-1.338246,1.381321,0.874230,0.045090,0.406926,0.211896,0.775157,0.279166
38,-6,-8,8,planar,59,2.198510,0.112727,-1.848438,2.084665,1.885543,0.200943,0.715152,0.284915,1.324606,0.263676
39,-6,11,3,linear,33,2.090394,0.052787,-0.566816,1.760825,0.401182,0.047346,0.114155,0.150525,0.456155,0.216722
40,-7,11,3,linear,24,1.890515,0.111778,-0.476430,1.787034,0.311282,0.025356,0.098039,0.141714,0.408741,0.050112
41,-1,-8,5,linear,25,-1.971618,0.713492,-0.584381,1.777671,3.529009,0.336195,0.666667,0.058149,1.587197,-0.091170
42,6,-1,1,planar,153,1.625116,-0.173184,-1.208461,1.439198,1.097010,0.201427,0.596363,0.286503,1.061259,-0.098716
43,6,-13,2,planar,16,0.125303,-0.747170,-1.117443,1.482129,2.995620,0.546529,0.412698,0.084770,1.458449,-0.225819
44,6,-6,2,corner_like,57,-2.873240,0.620860,0.669379,0.276234,1.506982,0.181907,0.413333,0.164704,0.966908,-0.352252
45,-10,-4,8,linear,21,-1.386594,0.388697,-0.405926,1.797766,2.812315,0.130517,0.666667,0.065081,1.309532,-0.389274
46,-9,-3,8,planar,56,2.161980,-0.073873,-1.958385,2.295770,1.761226,0.050501,0.333333,0.061809,0.834843,-0.404823
47,-4,-8,8,linear,47,0.529016,-0.167394,-0.475427,1.748685,1.441164,0.287383,0.143939,0.105001,0.812967,-0.421327
48,6,5,0,corner_like,115,0.739882,-0.218745,0.333424,0.439406,-0.836851,0.063744,0.126158,0.379155,0.358161,-0.421696
49,-6,6,8,planar,17,1.102214,-0.637728,-1.330159,2.058009,2.460445,0.046408,0.666667,0.086005,1.195984,-0.463237
50,-1,-9,-2,linear,36,0.817730,-0.055256,-0.296789,1.799980,0.834239,0.008114,0.370370,0.154871,0.685027,-0.500056
51,-2,11,7,linear,16,-1.048199,0.090094,-0.634146,1.794421,2.870768,0.534007,0.398010,0.097753,1.425386,-0.515904
52,-5,-8,8,planar,63,2.378941,-0.278297,-1.770326,1.825658,0.978112,0.138905,0.371069,0.247015,0.862365,-0.517228
53,-12,4,8,planar,24,1.235079,-0.231091,-1.409452,2.065961,1.850738,0.060509,0.333333,0.044661,0.848354,-0.620687
54,-6,-7,8,planar,67,1.980189,0.070323,-1.764636,2.239911,1.250826,0.097790,0.516667,0.243605,0.967016,-0.703209
55,1,8,-2,linear,38,-0.999477,0.005986,-0.315545,1.799975,2.361686,0.000390,0.666667,0.068604,1.133860,-0.747326
56,0,-7,-2,linear,54,1.918047,0.524386,-0.660049,1.797929,-0.756868,0.006841,0.170295,0.332800,0.329893,-0.772413
57,3,-5,4,corner_like,96,-1.381671,-0.079423,0.427853,0.293229,0.537145,0.077026,0.660360,0.383737,0.963715,-0.789325
58,-1,-11,8,planar,31,2.297167,0.286904,-1.398390,2.207994,0.110357,0.014214,0.066667,0.165420,0.359188,-0.911956
59,6,5,3,planar,16,0.528888,-0.178597,-1.522037,2.179103,2.425274,0.348140,0.529680,0.153226,1.319304,-0.925576
60,-7,-8,8,planar,47,2.347275,-0.197169,-1.811958,2.046622,0.743293,0.019139,0.473896,0.281901,0.813789,-0.965182
61,-8,11,3,planar,18,1.375410,0.116182,-1.901090,2.248204,1.631404,0.012234,0.333333,0.062016,0.783183,-1.026297
62,-9,-8,8,planar,30,1.806275,-0.406319,-2.081496,2.729114,2.365805,0.060984,0.666667,0.130261,1.215661,-1.044850
63,2,9,-2,linear,17,0.059580,0.064646,-0.425298,1.799996,1.000000,0.000000,0.000000,0.000000,0.400000,-1.101067
64,6,-13,1,corner_like,26,-7.071113,1.584804,0.742647,0.458098,3.920901,0.437412,0.666667,0.042676,1.723839,-1.280860
65,6,-10,2,planar,28,-0.329778,-0.066161,-1.221510,1.560678,1.841946,0.298925,0.364780,0.142073,1.071474,-1.336181
66,0,-10,6,planar,38,1.107023,-0.359007,-1.995321,2.367192,2.252421,0.025788,0.666667,0.128599,1.168147,-1.362076
67,-2,-11,8,planar,36,2.186065,0.412483,-1.772851,2.230367,-0.046459,0.023101,0.049383,0.208275,0.352174,-1.451130
68,-4,11,7,planar,27,1.770169,-0.194019,-2.553747,3.715644,3.223983,0.468126,0.333333,0.045418,1.398637,-1.469258
69,-13,-7,8,planar,21,1.206538,-0.287769,-1.881242,2.226030,1.676349,0.024427,0.333333,0.060849,0.799643,-1.512155
70,4,0,4,planar,19,-0.865109,0.096037,-1.546537,2.003654,2.772164,0.142401,0.666667,0.089776,1.325574,-1.547099
71,6,5,-1,planar,110,1.287938,-0.535533,-1.324376,1.519736,0.471465,0.249239,0.228360,0.255705,0.721002,-1.620240
72,-5,18,2,planar,15,1.783915,0.015526,-1.872059,2.239806,0.545083,0.022282,0.396396,0.280577,0.732784,-1.767341
73,-3,-11,8,linear,23,0.815285,-0.546902,-0.424051,1.782380,0.159525,0.021781,0.040650,0.136136,0.340786,-1.778523
74,-10,-11,8,planar,15,1.627666,-0.229711,-2.089723,2.729132,1.632743,0.018558,0.333333,0.068171,0.791720,-1.788156
75,-6,18,2,planar,15,0.132859,-0.132852,-1.628798,2.143985,1.836059,0.062446,0.333333,0.051188,0.850968,-1.936718
76,-7,-6,8,planar,68,1.276408,-0.214366,-1.875180,2.245126,1.102696,0.062240,0.536797,0.269298,0.941166,-1.955568
77,-10,7,8,planar,24,-0.148873,-0.135977,-1.755641,2.233326,2.270644,0.017156,0.666667,0.114028,1.156494,-2.003173
78,-5,-11,8,planar,25,1.629629,-0.300729,-1.611362,2.160159,0.333093,0.070362,0.098592,0.182207,0.470106,-2.109528
79,6,-12,2,linear,17,-2.119796,0.468055,-0.529734,1.781613,1.846531,0.450001,0.066667,0.083761,0.947502,-2.116557
