run_id,output_dir,is_baseline,voxel_size,min_points_per_voxel,shape_exponent,axis_scale_quantile,ranking_mode,analyzed_voxels,interesting_top_k,average_gaussian_center_advantage,average_shell_center_penalty,average_morphology_filter_penalty,corner_minus_planar_topk,label_corner_like_count,label_corner_like_fraction,label_linear_count,label_linear_fraction,label_planar_count,label_planar_fraction,label_volumetric_count,label_volumetric_fraction,topk_corner_like_count,topk_corner_like_fraction,topk_linear_count,topk_linear_fraction,topk_planar_count,topk_planar_fraction,topk_volumetric_count,topk_volumetric_fraction
vs_1__mp_15__se_1__aq_0p95__mode_nonplanar_priority,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/results/parameter_sweep/runs/vs_1__mp_15__se_1__aq_0p95__mode_nonplanar_priority,False,1.0,15,1.0,0.95,nonplanar_priority,732,200,-43.827732,3.075595,2.269347,-99,33,0.045081967213114756,249,0.3401639344262295,444,0.6065573770491803,6,0.00819672131147541,32,0.16,31,0.155,131,0.655,6,0.03
vs_1__mp_15__se_1p4__aq_0p85__mode_score_only,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/results/parameter_sweep/runs/vs_1__mp_15__se_1p4__aq_0p85__mode_score_only,False,1.0,15,1.4,0.85,score_only,732,200,-43.827732,2.955042,0.0,-112,33,0.045081967213114756,249,0.3401639344262295,444,0.6065573770491803,6,0.00819672131147541,30,0.15,22,0.11,142,0.71,6,0.03
vs_1__mp_15__se_1p4__aq_0p85__mode_corner_priority,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/results/parameter_sweep/runs/vs_1__mp_15__se_1p4__aq_0p85__mode_corner_priority,False,1.0,15,1.4,0.85,corner_priority,732,200,-43.827732,2.955042,1.134674,-101,33,0.045081967213114756,249,0.3401639344262295,444,0.6065573770491803,6,0.00819672131147541,32,0.16,29,0.145,133,0.665,6,0.03
vs_1__mp_15__se_1p4__aq_0p85__mode_nonplanar_priority,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/results/parameter_sweep/runs/vs_1__mp_15__se_1p4__aq_0p85__mode_nonplanar_priority,False,1.0,15,1.4,0.85,nonplanar_priority,732,200,-43.827732,2.955042,2.269347,-99,33,0.045081967213114756,249,0.3401639344262295,444,0.6065573770491803,6,0.00819672131147541,32,0.16,31,0.155,131,0.655,6,0.03
vs_1__mp_15__se_1p4__aq_0p95__mode_score_only,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/results/parameter_sweep/runs/vs_1__mp_15__se_1p4__aq_0p95__mode_score_only,False,1.0,15,1.4,0.95,score_only,732,200,-43.827732,2.781598,0.0,-114,33,0.045081967213114756,249,0.3401639344262295,444,0.6065573770491803,6,0.00819672131147541,29,0.145,22,0.11,143,0.715,6,0.03
vs_1__mp_15__se_1p4__aq_0p95__mode_corner_priority,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/results/parameter_sweep/runs/vs_1__mp_15__se_1p4__aq_0p95__mode_corner_priority,False,1.0,15,1.4,0.95,corner_priority,732,200,-43.827732,2.781598,1.134674,-100,33,0.045081967213114756,249,0.3401639344262295,444,0.6065573770491803,6,0.00819672131147541,32,0.16,30,0.15,132,0.66,6,0.03
vs_1__mp_15__se_1p4__aq_0p95__mode_nonplanar_priority,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/results/parameter_sweep/runs/vs_1__mp_15__se_1p4__aq_0p95__mode_nonplanar_priority,False,1.0,15,1.4,0.95,nonplanar_priority,732,200,-43.827732,2.781598,2.269347,-100,33,0.045081967213114756,249,0.3401639344262295,444,0.6065573770491803,6,0.00819672131147541,32,0.16,30,0.15,132,0.66,6,0.03
vs_1__mp_20__se_1__aq_0p85__mode_score_only,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/results/parameter_sweep/runs/vs_1__mp_20__se_1__aq_0p85__mode_score_only,False,1.0,20,1.0,0.85,score_only,652,200,-40.792561,3.067519,0.0,-114,33,0.05061349693251534,200,0.3067484662576687,413,0.6334355828220859,6,0.009202453987730062,30,0.15,20,0.1,144,0.72,6,0.03
vs_1__mp_20__se_1__aq_0p85__mode_corner_priority,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/results/parameter_sweep/runs/vs_1__mp_20__se_1__aq_0p85__mode_corner_priority,False,1.0,20,1.0,0.85,corner_priority,652,200,-40.792561,3.067519,1.150131,-105,33,0.05061349693251534,200,0.3067484662576687,413,0.6334355828220859,6,0.009202453987730062,32,0.16,25,0.125,137,0.685,6,0.03
vs_1__mp_20__se_1__aq_0p85__mode_nonplanar_priority,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/results/parameter_sweep/runs/vs_1__mp_20__se_1__aq_0p85__mode_nonplanar_priority,False,1.0,20,1.0,0.85,nonplanar_priority,652,200,-40.792561,3.067519,2.300262,-103,33,0.05061349693251534,200,0.3067484662576687,413,0.6334355828220859,6,0.009202453987730062,32,0.16,27,0.135,135,0.675,6,0.03
vs_1__mp_20__se_1__aq_0p95__mode_score_only,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/results/parameter_sweep/runs/vs_1__mp_20__se_1__aq_0p95__mode_score_only,False,1.0,20,1.0,0.95,score_only,652,200,-40.792561,2.899304,0.0,-113,33,0.05061349693251534,200,0.3067484662576687,413,0.6334355828220859,6,0.009202453987730062,30,0.15,21,0.105,143,0.715,6,0.03
vs_1__mp_20__se_1__aq_0p95__mode_corner_priority,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/results/parameter_sweep/runs/vs_1__mp_20__se_1__aq_0p95__mode_corner_priority,False,1.0,20,1.0,0.95,corner_priority,652,200,-40.792561,2.899304,1.150131,-106,33,0.05061349693251534,200,0.3067484662576687,413,0.6334355828220859,6,0.009202453987730062,32,0.16,24,0.12,138,0.69,6,0.03
vs_1__mp_20__se_1__aq_0p95__mode_nonplanar_priority,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/results/parameter_sweep/runs/vs_1__mp_20__se_1__aq_0p95__mode_nonplanar_priority,False,1.0,20,1.0,0.95,nonplanar_priority,652,200,-40.792561,2.899304,2.300262,-105,33,0.05061349693251534,200,0.3067484662576687,413,0.6334355828220859,6,0.009202453987730062,32,0.16,25,0.125,137,0.685,6,0.03
